RecipeName,TranslatedIngredients,PrepTimeInMins,CookTimeInMins,TotalTimeInMins,Servings,Cuisine,Course,Diet,TranslatedInstructions,
Kerala Pradhaman (Payasam),"Jaggery – 200g
Coconut milk – 2 cups
Moong dal (yellow lentils) – 1/4 cup
Ghee – 1 tbsp
Cashews – 10, chopped
Raisins – 10
Cardamom powder – 1/2 tsp
Water – 1 cup",10 minutes,20 minutes,30 minutes,4,Kerala,Dessert,Vegetarian,"Cook moong dal in water until soft.
In a separate pan, melt jaggery in water and strain to remove impurities.
Add the jaggery syrup to the cooked dal and simmer for 5 minutes.
Add coconut milk and simmer until thickened.
Heat ghee in a small pan, fry cashews and raisins, and add them to the payasam.
Sprinkle cardamom powder and serve hot.",
Kerala Egg Curry,"Eggs – 4, hard boiled
Onion – 1, sliced
Tomato – 1, chopped
Green chilies – 2, slit
Ginger – 1-inch piece, chopped
Garlic – 3 cloves, crushed
Coconut milk – 1/2 cup
Turmeric powder – 1/2 tsp
Red chili powder – 1 tsp
Coriander powder – 1 tsp
Curry leaves – a few sprigs
Coconut oil – 2 tbsp
Salt – to taste",10 minutes,20 minutes,30 minutes,4,Kerala,Main Course,Non-Vegetarian,"Heat coconut oil in a pan and sauté onions, ginger, garlic, and green chilies.
Add tomatoes, turmeric, red chili powder, and coriander powder, and cook until soft.
Add coconut milk and curry leaves. Simmer for a few minutes.
Add the hard-boiled eggs and cook for 5 minutes, letting the flavors meld.
Serve with rice or appams.",
 Kallappam (Kerala Rice Pancake),"Rice – 1 1/2 cups
Urad dal – 1/4 cup
Coconut milk – 1/2 cup
Yeast – 1 tsp
Salt – 1/2 tsp
Water – as needed
Coconut oil – for frying",10 minutes,20 minutes,30 minutes,4,Kerala,Breakfast,Vegetarian,"Soak rice and urad dal for 4-5 hours.
Grind soaked ingredients into a smooth batter, adding water as needed.
Mix yeast and salt into the batter and let it ferment for 2-3 hours.
Heat a non-stick pan, pour a ladle of batter, and spread it in a circle.
Cook with the lid on until the edges are golden and crispy.
Serve hot with vegetable stew or curry.",
Kerala Malabar Chicken Biryani,"Chicken – 500g
Basmati rice – 2 cups
Onion – 2, sliced
Tomato – 1, chopped
Yogurt – 1/2 cup
Ginger – 1-inch piece, chopped
Garlic – 4 cloves, crushed
Green chilies – 3, slit
Cinnamon – 1 stick
Cloves – 4
Cardamom – 4
Garam masala – 1 tsp
Biryani masala – 1 tbsp
Coconut oil – 3 tbsp
Salt – to taste
Water – as needed",20 minutes,40 miutes,60 minutes,4,Kerala,Main Course,Non-Vegetarian,"Marinate chicken with yogurt, ginger, garlic, green chilies, and spices for 30 minutes.
Fry onions in coconut oil until golden and set aside.
Cook rice with spices (cinnamon, cardamom, cloves) until half done.
Cook marinated chicken in a pan, add tomatoes, and simmer.
Layer the rice and chicken, and cook in dum for 15-20 minutes.
Serve hot with raita or pickle.",
 Kerala Banana Chips,"Raw bananas – 2
Coconut oil – for frying
Salt – 1 tsp
Turmeric powder – 1/2 tsp",10 minutes,10 minutes ,20 minutes,1,Kerala,Snack,Vegetarian,"Peel the raw bananas and slice them thinly using a slicer.
Heat coconut oil in a pan and fry the banana slices in batches until crispy.
Drain excess oil and sprinkle salt and turmeric powder.
Serve as a crispy snack or side dish.
",
Kerala Fish Moilee,"Fish (kingfish or any firm fish) – 500g
Coconut milk – 1 1/2 cups
Onion – 1, sliced
Tomato – 1, chopped
Green chilies – 2, slit
Ginger – 1-inch piece, sliced
Garlic – 3 cloves, crushed
Turmeric powder – 1/2 tsp
Coriander powder – 1 tsp
Mustard seeds – 1 tsp
Curry leaves – a few sprigs
Coconut oil – 2 tbsp
Salt – to taste
Water – as needed",10 minutes,20 minutes,30 minutes,4,Kerala,Main Course,Non-Vegetarian,"Heat coconut oil in a pan, and sauté mustard seeds, onions, ginger, garlic, and green chilies.
Add chopped tomatoes, turmeric powder, and coriander powder. Cook until soft.
Add fish pieces and enough water to cover the fish. Simmer for 10-15 minutes.
Add coconut milk and curry leaves, and cook for another 5 minutes.
Serve hot with rice or appams.",
Kootu Curry,"Mixed vegetables (carrot, beans, pumpkin, etc.) – 2 cups
Moong dal – 1/2 cup
Grated coconut – 1/2 cup
Cumin seeds – 1/2 tsp
Green chilies – 2
Coconut oil – 2 tbsp
Mustard seeds – 1 tsp
Dry red chilies – 2
Curry leaves – a few sprigs
Salt – to taste",15 minutes,20 minutes,35 minutes,4,Kerala,Side Dish,Vegetarian,"Cook moong dal and vegetables until soft.
Grind grated coconut, cumin seeds, and green chilies into a smooth paste.
Add the ground coconut paste to the cooked vegetables and simmer for 5-10 minutes.
Heat coconut oil in a pan, temper mustard seeds, dry red chilies, and curry leaves, and pour over the curry.
Serve hot with rice.
",
 Kerala Prawn Curry,"Prawns – 500g
Coconut oil – 2 tbsp
Onion – 1, sliced
Tomato – 1, chopped
Ginger – 1-inch piece, chopped
Garlic – 3 cloves, crushed
Green chilies – 2, slit
Curry leaves – a few sprigs
Coconut milk – 1/2 cup
Turmeric powder – 1/2 tsp
Red chili powder – 1 tsp
Coriander powder – 1 tsp
Salt – to taste
Water – as needed",10 minutes,25 minutes,35 minutes,4,Kerala,Main Course,Non-Vegetarian,"Heat coconut oil and sauté onions, ginger, garlic, green chilies, and curry leaves.
Add chopped tomatoes, turmeric powder, red chili powder, and coriander powder. Cook until soft.
Add prawns and cook for 5 minutes.
Add coconut milk, water, and salt, and simmer until the prawns are cooked.
Serve hot with rice or parotta.",
 Kerala Beef Fry,"Beef – 500g, cut into small pieces
Onion – 2, sliced
Green chilies – 3, slit
Ginger – 1-inch piece, chopped
Garlic – 4 cloves, chopped
Curry leaves – a few sprigs
Turmeric powder – 1/2 tsp
Red chili powder – 1 tsp
Coriander powder – 1 tsp
Garam masala – 1 tsp
Coconut oil – 3 tbsp
Salt – to taste",15 minutes,45 minutes,60 minutes,4,Kerala,Main Course,Non-Vegetarian,"Marinate beef with turmeric powder, red chili powder, coriander powder, and salt for 30 minutes.
Heat coconut oil in a pan, sauté onions, ginger, garlic, green chilies, and curry leaves.
Add marinated beef and cook on medium heat until the beef is tender and browned.
Add garam masala and cook for another 5-10 minutes.
Serve hot with rice or parotta.",
Kerala Sambar,"Toor dal – 1 cup
Mixed vegetables (carrot, pumpkin, beans) – 2 cups
Tamarind – 1 small ball
Onion – 1, sliced
Tomato – 1, chopped
Sambar powder – 1 tbsp
Mustard seeds – 1 tsp
Curry leaves – a few sprigs
Coconut oil – 2 tbsp
Salt – to taste
Water – as needed",15 minutes,30 minutes,45 minutes,4,Kerala,Side Dish,Vegetarian,"Cook toor dal and vegetables in water until soft.
Soak tamarind in water and extract the juice.
Heat coconut oil, sauté onions and tomatoes, and add tamarind juice and sambar powder.
Add cooked dal and vegetables, and simmer for 10 minutes.
Serve with rice or dosa.",
Kerala Chutney,"Coconut – 1/2 cup, grated
Green chilies – 2
Ginger – 1-inch piece
Tamarind – 1 small ball
Salt – to taste
Mustard seeds – 1/2 tsp
Curry leaves – a few sprigs
Coconut oil – 1 tbsp",10 minutes,5 minutes,15 minutes,4,Kerala,Side Dish,Vegetarian,"Grind coconut, green chilies, ginger, and tamarind into a smooth paste.
Heat coconut oil in a pan, temper mustard seeds, and curry leaves.
Add the ground paste to the pan and cook for 5 minutes.
Serve as a side dish with dosa or idli.
",
 Kerala Avial,"Mixed vegetables (carrot, beans, potato, drumstick, etc.) – 2 cups
Curd – 1/2 cup
Grated coconut – 1/2 cup
Green chilies – 2
Cumin seeds – 1/2 tsp
Coconut oil – 2 tbsp
Curry leaves – a few sprigs
Salt – to taste",15 minutes,20 minutes,35 minutes,4,Kerala,Side Dish,Vegetarian,"Cook the vegetables in water with salt until soft.
Grind coconut, green chilies, and cumin seeds into a smooth paste.
Add the coconut paste to the cooked vegetables and simmer.
Add curd and coconut oil, mix well, and cook for another 5 minutes.
Serve hot with rice.",
Thoran (Stir-fried Vegetable),"Cabbage (finely chopped) – 2 cups
Grated coconut – ½ cup
Mustard seeds – 1 tsp
Green chilies – 2, chopped
Curry leaves – a few sprigs
Turmeric powder – ½ tsp
Salt – to taste
Coconut oil – 2 tbsp",10 minutes,15 minutes,25 minutesw,4,Kerala,Side Dish,Vegetarian,"Heat coconut oil in a pan, add mustard seeds, and let them splutter.
Add green chilies and curry leaves.
Add cabbage, turmeric, and salt; stir-fry for 5 minutes.
Mix in grated coconut and cook for another 5 minutes.
Serve hot as a side dish with rice.",
Erissery (Pumpkin and Lentil Curry),"Pumpkin (diced) – 2 cups
Black-eyed peas – 1 cup (cooked)
Grated coconut – 1 cup
Cumin seeds – 1 tsp
Dried red chilies – 2
Turmeric powder – ½ tsp
Curry leaves – a few sprigs
Mustard seeds – 1 tsp
Coconut oil – 2 tbsp
Salt – to taste",20 minutes,30 minutes,50 minutes,4,Kerala,Main Course,Vegetarian,"Cook pumpkin and black-eyed peas with turmeric and salt.
Grind grated coconut and cumin into a smooth paste.
Add the coconut paste to the cooked vegetables and simmer for 5 minutes.
In a separate pan, heat coconut oil, splutter mustard seeds, and add dried red chilies and curry leaves.
Pour this tempering over the curry and serve hot with rice.",
Kalan (Yam and Banana Curry),"Raw banana (chopped) – 1 cup
Yam (chopped) – 1 cup
Curd – 1 cup
Grated coconut – 1 cup
Cumin seeds – 1 tsp
Black pepper – ½ tsp
Turmeric powder – ½ tsp
Mustard seeds – 1 tsp
Curry leaves – a few sprigs
Dried red chilies – 2
Coconut oil – 2 tbsp
Salt – to taste",15 minutes,20 minutes,35 minutes,4,Kerala,Main Course,Vegetarian,"Cook yam and banana with turmeric, pepper, and salt until soft.
Grind grated coconut, cumin, and pepper into a smooth paste.
Add the paste to the cooked vegetables and simmer.
Stir in curd and cook briefly without boiling.
Temper with mustard seeds, dried red chilies, and curry leaves in coconut oil.
Serve hot with steamed rice.
",
Idiyappam (String Hoppers),"Rice flour – 2 cups
Salt – 1 tsp
Hot water – as needed
Grated coconut – ½ cup",15 minutes,15 minutes,30 minutes,4,Kerala,Breakfast,Vegetarian,"Mix rice flour with salt and pour in hot water gradually to form a smooth dough.
Fill the dough in an idiyappam press and press onto idli plates.
Sprinkle grated coconut over the pressed dough.
Steam for 10–12 minutes.
Serve hot with coconut milk or curry.
",
Pathiri (Rice Flatbread),"Rice flour – 2 cups
Water – 2 cups
Salt – 1 tsp
Oil – 1 tbsp",15 minutes,15 minutes,30 minutes,4,Kerala,Main Course,Vegetarian,"Boil water with salt and oil.
Add rice flour gradually, stirring continuously.
Cover and let it cool slightly.
Knead the dough until smooth.
Roll out into thin discs and cook on a hot griddle.
Serve hot with curry or stew.",
Meen Pollichathu (Fish in Banana Leaf),"Fish fillets – 4 pieces
Shallots (finely chopped) – 1 cup
Ginger-garlic paste – 1 tbsp
Turmeric powder – ½ tsp
Red chili powder – 1 tsp
Black pepper – ½ tsp
Coconut oil – 2 tbsp
Curry leaves – a few sprigs
Banana leaves – for wrapping",20 minutes,20 minutes,40 minutes,4,Kerala,Main Course,Non-Vegetarian,"Marinate fish fillets with turmeric, chili powder, salt, and pepper.
Heat oil, sauté shallots, ginger-garlic paste, and curry leaves until golden.
Place fish on banana leaves, add sautéed mixture on top.
Wrap the fish tightly and cook on a griddle for 10 minutes on each side.
Serve hot with rice or appam.",
Pazham Pori (Banana Fritters),"Ripe banana (Nendran) – 2, sliced
All-purpose flour – 1 cup
Sugar – 2 tbsp
Turmeric powder – ¼ tsp
Salt – a pinch
Water – as needed
Oil – for frying",10 minutes,15 minutes,25 minutes,1,Kerala,Snack,Vegetarian,"Mix flour, sugar, turmeric, and salt with water to form a thick batter.
Dip banana slices in the batter and deep fry until golden.
Serve hot with tea.",
Parippu Vada (Lentil Fritters),"Chana dal – 1 cup (soaked)
Onion (finely chopped) – ½ cup
Green chilies – 2, chopped
Ginger – 1 tsp, chopped
Curry leaves – a few sprigs
Salt – to taste
Oil – for frying",15 minutes,20 minutes,35 minutes,4,Kerala,Snack,Vegetarian,"Grind soaked chana dal coarsely.
Mix with onion, chilies, ginger, curry leaves, and salt.
Shape into patties and deep fry until crisp.
Serve hot with coconut chutney.",
Uzhunnu Vada (Medu Vada),"Urad dal – 1 cup (soaked)
Onion (finely chopped) – ½ cup
Green chilies – 2, chopped
Curry leaves – a few sprigs
Black pepper – ½ tsp
Salt – to taste
Oil – for frying",15 minutes,20 minutes,35 minutes,1,Kerala,Snack,Vegetarian,"Grind urad dal into a smooth paste.
Mix with onion, chilies, curry leaves, pepper, and salt.
Shape into doughnut-like circles and deep fry.
Serve hot with sambar or chutney.",
Kozhukatta (Sweet Rice Dumplings),"Rice flour – 2 cups
Grated coconut – 1 cup
Jaggery – ½ cup (melted)
Cardamom powder – ½ tsp
Water – as needed
Salt – a pinch",15 minutes,20 minutes,35 minutes,4,Kerala,Snack,Vegetarian,"Boil water with salt and add rice flour to form a dough.
Mix grated coconut, jaggery, and cardamom for the filling.
Shape dough into balls, fill with coconut-jaggery mix, and steam for 15 minutes.",
Achappam (Rose Cookies),"Rice flour – 1 cup
Coconut milk – ½ cup
Sugar – ½ cup
Eggs – 2
Sesame seeds – 1 tsp
Oil – for deep frying",15 minutes,20 minutes,35 minutes,4,Kerala,Snack,Vegetarian,"Mix rice flour, coconut milk, sugar, and eggs to form a batter.
Heat oil, dip the achappam mold in oil, then batter, and fry until crisp.",
Kappa Vevichathu (Mashed Tapioca),"Tapioca – 500g
Grated coconut – ½ cup
Garlic – 2 cloves
Green chilies – 2
Turmeric powder – ½ tsp
Salt – to taste
Coconut oil – 2 tbsp",15 minutes,20 minutes,35 minutes,4,Kerala,Snack,Vegetarian,"Cook tapioca with turmeric and salt.
Grind coconut, garlic, and chilies into a paste.
Mix with cooked tapioca and drizzle with coconut oil.",
Unniyappam,"Rice flour – 1 cup
Jaggery – ½ cup (melted)
Banana – 1, mashed
Cardamom powder – ½ tsp
Ghee – for frying",15 minutes,20 minutes,35 minutes,4,Kerala,Snack,Vegetarian,"Mix rice flour, jaggery, banana, and cardamom into a thick batter.
Fry in an appam pan with ghee until golden brown.
",
Chakka Varatti (Jackfruit Halwa),"Ripe jackfruit – 2 cups
Jaggery – 1 cup
Ghee – 2 tbsp
Cardamom powder – ½ tsp",20 minutes,30 minutes,50 minutes,4,Kerala,Snack,Vegetarian,"Cook jackfruit until soft and mash it.
Add jaggery syrup and stir continuously.
Stir in ghee and cardamom until thick.
",
Thenga Chammanthi (Coconut Chutney),"Grated coconut – 1 cup
Green chilies – 2
Shallots – 3, chopped
Tamarind – 1 tsp
Salt – to taste",10 minutes,5 minutes,15 minutes,4,Kerala,Snack,Vegetarian,"Blend grated coconut, green chilies, shallots, tamarind, and salt into a coarse paste.
Serve with rice or dosa.",
Palada Payasam (Rice Pudding with Milk),"Rice ada – ½ cup
Milk – 1 liter
Sugar – ¾ cup
Cardamom powder – ½ tsp
Ghee – 1 tbsp",10 minutes,45 minutes,55 minutes,4,Kerala,Dessert,Vegetarian,"Cook ada in boiling water, then drain.
Boil milk and add cooked ada.
Stir in sugar and cardamom, simmer until thickened.
",
Aval Vilayichathu (Sweetened Poha),"Flattened rice (aval) – 2 cups
Jaggery syrup – 1 cup
Grated coconut – ½ cup
Cardamom powder – ½ tsp
Ghee – 2 tbsp",10 minutes,15 minutes,25 minutes,4,Kerala,Dessert,Vegetarian,"Heat jaggery syrup in a pan.
Add aval and grated coconut.
Stir well and cook until dry.",
Neyyappam (Sweet Rice Pancakes),"Rice flour – 1 cup
Jaggery – ½ cup (melted)
Banana – 1, mashed
Cardamom powder – ½ tsp
Ghee – for frying",15 minutes,20 minutes,35 minutes,4,Kerala,Dessert,Vegetarian,"Mix rice flour, melted jaggery, banana, and cardamom into a thick batter.
Fry in ghee until golden.",
Churuttu (Crispy Rolled Sweet),"Maida (all-purpose flour) – 1 cup
Sugar – ½ cup
Cardamom powder – ½ tsp
Ghee – for deep frying",15 minutes,20 minutes,35 minutes,4,Kerala,Dessert,Vegetarian,"Roll maida dough into thin sheets.
Sprinkle sugar and cardamom powder.
Roll tightly and deep fry in ghee.",
Kinnathappam (Rice Cake),"Rice flour – 1 cup
Coconut milk – 1 cup
Jaggery syrup – ½ cup
Cardamom powder – ½ tsp",15 minutes,35 minutes,50 minutes,4,Kerala,Dessert,Vegetarian,"Mix rice flour, coconut milk, and jaggery syrup.
Steam for 20 minutes until firm.",
Mutta Maala (Egg Garland Dessert),"Eggs – 4 (yolks only)
Sugar – 1 cup
Water – 1 cup",10 minutes,15 minutes,25 minutes,4,Kerala,Dessert,Vegetarian,"Beat egg yolks until smooth.
Boil sugar syrup.
Drop the yolks through a fine sieve into the syrup to form garlands.",
Theeyal (Spicy Coconut Curry),"Shallots – 1 cup
Grated coconut – 1 cup
Tamarind extract – ½ cup
Red chili powder – 1 tsp
Coriander powder – 1 tbsp
Coconut oil – 2 tbsp",15 minutes,25 minutes,40 minutes,4,Kerala,Main Course,Vegetarian,"Roast coconut until dark brown, then grind into a paste.
Cook shallots with tamarind extract and spices.
Add the coconut paste and simmer.",
Kalan (Yogurt Curry with Plantain),"Raw plantain – 2, diced
Yogurt – 1 cup
Grated coconut – ½ cup
Green chilies – 3
Turmeric powder – ½ tsp
Coconut oil – 2 tbsp",15 minutes,25 minutes,40 minutes,4,Kerala,Main Course,Vegetarian,"Cook plantain with turmeric and salt.
Blend coconut and green chilies into a paste and mix in.
Stir in yogurt and drizzle with coconut oil.
",
Pulissery (Moru Curry/Buttermilk Curry),"Yogurt – 1 cup
Grated coconut – ½ cup
Turmeric powder – ½ tsp
Green chilies – 3
Coconut oil – 2 tbsp
Curry leaves – a few sprigs",10 minutes,15 minutes,25 minutes,4,Kerala,Main Course,Vegetarian,"Blend coconut, green chilies, and turmeric into a paste.
Cook with yogurt on low flame.
Add coconut oil and curry leaves.
",
 Prawns Roast (Chemmeen Roast),"Prawns – 500g
Onion – 2, sliced
Tomato – 1, chopped
Red chili powder – 1 tsp
Turmeric powder – ½ tsp
Coconut oil – 2 tbsp",15 minutes,20 minutes,35 minutes,4,Kerala,Main Course,Non-Vegetarian,"Marinate prawns with turmeric and salt.
Sauté onions and tomatoes in coconut oil.
Add prawns and cook until roasted.
",
Nadan Chicken Curry,"Chicken – 500g
Onion – 2, sliced
Tomato – 2, chopped
Ginger-garlic paste – 1 tbsp
Coconut milk – 1 cup
Coconut oil – 2 tbsp",20 minutes,30 minutes,50 minutes,4,Kerala,Main Course,Non-Vegetarian,"Sauté onions, tomatoes, and ginger-garlic paste.
Add chicken and cook with spices.
Stir in coconut milk and simmer.",
Thalassery Biryani,"Basmati rice – 2 cups
Chicken – 500g
Onions – 2, sliced
Tomatoes – 2, chopped
Garam masala – 1 tbsp
Ghee – 2 tbsp",20 minutes,30 minutes,50 minutes,4,kerala,Main Course,Non-Vegetarian,"Soak basmati rice for 20 minutes, cook until 80% done, and set aside.
Sauté onions in ghee, add tomatoes, garam masala, and chicken; cook until tender.
In a pot, layer half the rice, followed by chicken masala, then the remaining rice.
Drizzle ghee, garnish with fried onions, coriander, and mint; cook covered on low heat for 10-15 minutes.
Fluff the layers gently and serve hot with raita and pickle.",
Nadan Mutton Curry,"Mutton – 500g
Onion – 2, sliced
Tomato – 2, chopped
Ginger-garlic paste – 1 tbsp
Garam masala – 1 tsp
Coconut oil – 2 tbsp",20 minutes,40 minutes,60 minutes,4,kerala,Main Course,Non-Vegetarian,"Sauté onions and tomatoes in coconut oil.
Add ginger-garlic paste and garam masala, then add mutton.
Cook until mutton is tender and gravy is thick.",
Thoran (Cabbage Thoran),"Cabbage – 2 cups, shredded
Grated coconut – ½ cup
Green chilies – 3
Mustard seeds – 1 tsp
Curry leaves – a few sprigs
Coconut oil – 2 tbsp",10 minutes,15 minutes,25 minutes,4,kerala,Main Course,Vegetarian,"Sauté mustard seeds and curry leaves in coconut oil.
Add shredded cabbage and cook until tender.
Stir in grated coconut and green chilies.",
